taskName,program,nlDescription
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) false) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_width $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) false) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) false) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) (lambda (get_height $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_inferred_b $0 false true) (lambda (get_height $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_width $0)) false) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) (lambda (get_height $0)) (negate_boolean true)) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) (lambda (get_height $0)) (negate_boolean true)) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_inferred_b $0 false true) (lambda (get_height $0)) (negate_boolean true)) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_height $0)) (negate_boolean true)) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_width $0)) (negate_boolean true)) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) (negate_boolean true)) true)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) (negate_boolean true)) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) (is_tile (grid_to_block $0))) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) (is_tile (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $0)) false))) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) false) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) false) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) false) false)),copy only the biggest shape into the output grid copy the small dense part copy the small dense part
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) blue) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (remove_black_b (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true)) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) blue) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) teal) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) teal) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) grey) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) grey) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (replace_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) black red) false))) true true)),fill in the area above the four square base until you get to the top of the colored area
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) (negate_boolean false) false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (negate_boolean true))),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) (touches_any_boundary (grid_to_block $0)) false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (grid_to_block $0)))),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (remove_black_b (extend_towards_until_edge $0 east)))) true false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (to_original_grid_overlay (merge_blocks (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) false) true)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (filter_tiles (find_tiles_by_black_b $0) (lambda true)) (lambda (extend_towards_until_edge $0 east))) true false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge (block_to_tile (tile_to_block $0)) east))) true false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge (get_block_center (tile_to_block $0)) east))) true false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) (touches_any_boundary (replace_color (grid_to_block $0) orange grey)) false)),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (replace_color (grid_to_block $0) orange grey)))),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (wrap_block (grid_to_block $0) invisible false)))),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (fill_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 0))))),"copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors"
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (box_block $0))) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (remove_black_b $0))) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (box_block $0))) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width (box_block $0))) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_height $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_height $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_height $0)) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_height $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (fill_color $0 blue))) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (fill_color $0 blue))) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (fill_color $0 (nth_primary_color (grid_to_block $1) 0)))) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (fill_color $0 (nth_primary_color (grid_to_block $1) 0)))) true) true)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_width $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) true) false)),change the grid size with the colored object with the smallest area and fill the same color.
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (center_block_on_tile (grid_to_block $0) (block_to_tile (move_towards_until_edge (get_block_center (grid_to_block $0)) south))) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (center_block_on_tile (grid_to_block $0) (get_block_center (move_towards_until_edge (get_block_center (grid_to_block $0)) south))) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south (negate_boolean true)) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) (negate_boolean true))),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (move (remove_black_b (grid_to_block $0)) 1 south false) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (remove_black_b (move (grid_to_block $0) 1 south false)) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (move (remove_color (grid_to_block $0) yellow) 1 south false) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (move (duplicate (grid_to_block $0) east 1) 1 south false) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (move (replace_color (grid_to_block $0) orange red) 1 south false) false)),move all the blue color move down  by one grid
25ff71a9.json,(lambda (to_original_grid_overlay (filter_block_tiles (move (grid_to_block $0) 1 south false) (lambda true)) false)),move all the blue color move down  by one grid
