,program,DSL,generation,frontierEntryRank,isHandWritten,nl_0,nl_1,nl_2,nl_3,nl_4,nl_5
67a3c6ac.json,(lambda (to_min_grid (reflect (#(lambda (remove_black_b (grid_to_block $0))) $0) false) false)),rich,2,0,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (#(lambda (remove_black_b (grid_to_block $0))) $0) false) true)),rich,2,2,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (#(lambda (remove_black_b (grid_to_block $0))) $0) false) true)),rich,2,5,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (#(lambda (remove_black_b (grid_to_block $0))) $0) false) false)),rich,3,4,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (filter_block_tiles (reflect (#(lambda (remove_black_b (grid_to_block $0))) $0) false) (lambda true)) false)),rich,3,8,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (filter_block_tiles (#(lambda (remove_black_b (grid_to_block $0))) $0) (lambda true)) false) false)),rich,3,9,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (box_block (reflect (grid_to_block $0) false)) false)),rich,generation,entry,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (box_block (grid_to_block $0)) false) false)),rich,generation,entry,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (grid_to_block $0) false) (negate_boolean false))),rich,generation,entry,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (grid_to_block $0) false) (negate_boolean true))),trimmed,0,9,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (#(lambda (#(lambda (to_min_grid $0 true)) (reflect $0 false))) (grid_to_block $0))),trimmed,generation,entry,False,create a left right mirror image of the input,create a right to left mirror image,,,,
8efcae92.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (remove_color $0 blue))) false) false)),rich,1,0,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles (remove_color $0 blue))) false) false)),rich,2,0,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles (remove_color $0 blue))) false) true)),rich,2,2,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (remove_color $0 blue))) false) true)),rich,2,3,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (reflect (remove_color $0 blue) false))) false) true)),rich,2,4,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (remove_color (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (remove_color $0 blue))) false) grey) false)),rich,2,5,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (remove_color (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (remove_color $0 blue))) false) grey) true)),rich,2,6,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (remove_color (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (remove_color $0 blue))) false) yellow) false)),rich,2,7,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (remove_color (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (remove_color $0 blue))) false) yellow) true)),rich,2,8,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (remove_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $1) 0)))) false) true)),rich,2,9,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color $0 blue))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_black_b (remove_color $0 blue)))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color (remove_black_b $0) blue))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color (box_block $0) blue))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (reflect (remove_color $0 blue) false))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color (reflect $0 false) blue))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color (remove_color $0 blue) blue))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color (remove_color $0 blue) yellow))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color (remove_color $0 yellow) blue))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) $1 false) true))) (lambda (get_num_tiles (remove_color (remove_color $0 blue) pink))) $0)),rich,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $2 true true) $0 $1) $1)))) $0 false (lambda (get_num_tiles (remove_color $0 blue))))),trimmed,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $2 true true) $0 $1) $1)))) $0 (negate_boolean true) (lambda (get_num_tiles (remove_color $0 blue))))),trimmed,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $2 true true) $0 $1) $1)))) $0 (is_tile (#(lambda (remove_black_b (grid_to_block $0))) $0)) (lambda (get_num_tiles (remove_color $0 blue))))),trimmed,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $2 true true) $0 $1) $1)))) $0 (touches_any_boundary (#(lambda (filter_block_tiles (#(lambda (remove_black_b (grid_to_block $0))) $0) (lambda (is_interior $0 true)))) $0)) (lambda (get_num_tiles (remove_color $0 blue))))),trimmed,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (lambda (lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $2 true true) $0 $1) $1)))) $0 (is_tile (#(lambda (wrap_block (#(lambda (remove_black_b (grid_to_block $0))) $0) blue true)) $0)) (lambda (get_num_tiles (remove_color $0 blue))))),trimmed,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
8efcae92.json,(lambda (#(lambda (#(lambda (lambda (lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $2 true true) $0 $1) $1)))) $0 false (lambda (get_num_tiles (remove_color $0 blue))))) $0)),trimmed,generation,entry,False,make the grid the same size as the shape and the two color s are just like in the shape,replicate the pattern of the chosen shape,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (#(lambda (remove_color (#(lambda (remove_black_b (grid_to_block $0))) $0) (nth_primary_color (grid_to_block $0) 1))) $0) blue)))) false)),rich,3,0,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (#(lambda (remove_color (#(lambda (remove_black_b (grid_to_block $0))) $0) (nth_primary_color (grid_to_block $0) 1))) $0) grey)))) false)),rich,4,1,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles $0)) false) blue)))) false)),rich,4,2,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles $0)) false) grey)))) false)),rich,4,3,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles (#(lambda (remove_color (#(lambda (remove_black_b (grid_to_block $0))) $0) (nth_primary_color (grid_to_block $0) 1))) $1))) false) blue)))) false)),rich,4,4,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles (#(lambda (remove_color (#(lambda (remove_black_b (grid_to_block $0))) $0) (nth_primary_color (grid_to_block $0) 1))) $1))) false) grey)))) false)),rich,4,5,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles (remove_color $0 blue))) false) blue)))) false)),rich,4,6,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles (remove_color $0 blue))) false) grey)))) false)),rich,4,7,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles (remove_color $0 grey))) false) blue)))) false)),rich,4,8,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (fill_color (merge_blocks (find_blocks_by_color $0 (nth_primary_color (#(lambda (remove_black_b (grid_to_block $0))) $0) 0) true false) false) (get_tile_color (get_block_center (remove_color (first_of_sorted_object_list (#(lambda (filter_blocks (find_same_color_blocks $0 true false) (lambda (is_symmetrical $0 false)))) $0) (lambda (get_num_tiles (remove_color $0 grey))) false) grey)))) false)),rich,4,9,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (filter_block_tiles (fill_color (remove_black_b (grid_to_block $0)) (nth_primary_color (grid_to_block $0) 2)) (lambda (negate_boolean (tile_overlaps_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false))))) false)),trimmed,4,0,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (filter_block_tiles (fill_color (remove_black_b (grid_to_block $0)) (nth_primary_color (singleton_block (tiles_to_blocks (find_tiles_by_black_b $0))) 0)) (lambda (negate_boolean (tile_overlaps_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false))))) false)),trimmed,4,1,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (filter_block_tiles (fill_color (remove_black_b (grid_to_block $0)) (nth_primary_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $0)) false) 0)) (lambda (negate_boolean (tile_overlaps_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false))))) false)),trimmed,4,2,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (filter_block_tiles (fill_color (remove_black_b (grid_to_block $0)) (nth_primary_color (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) true) 0)) (lambda (negate_boolean (tile_overlaps_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false))))) false)),trimmed,4,3,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (filter_block_tiles (fill_color (remove_black_b (grid_to_block $0)) (nth_primary_color (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) true) 0)) (lambda (negate_boolean (tile_overlaps_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false))))) false)),trimmed,4,4,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (filter_block_tiles (fill_color (remove_black_b (reflect (reflect (grid_to_block $0) false) false)) (nth_primary_color (grid_to_block $0) 2)) (lambda (negate_boolean (tile_overlaps_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false))))) false)),trimmed,5,3,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
aabf363d.json,(lambda (to_original_grid_overlay (filter_block_tiles (fill_color (remove_black_b (reflect (reflect (grid_to_block $0) true) true)) (nth_primary_color (grid_to_block $0) 2)) (lambda (negate_boolean (tile_overlaps_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false))))) false)),trimmed,5,4,False,change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black,make the box at the bottom left corner black and the colored object at the center the color of the box at the bottom left corner,,,,
a740d043.json,(lambda (to_min_grid (remove_color (grid_to_block $0) blue) false)),rich,0,0,False,follow the insturction,make the pattern and if there is any more on the side s or any blue fill in with black,,,,
a740d043.json,(lambda (blocks_to_min_grid (find_blocks_by_inferred_b $0 false false) false false)),rich,0,1,False,follow the insturction,make the pattern and if there is any more on the side s or any blue fill in with black,,,,
a740d043.json,(lambda (blocks_to_min_grid (find_blocks_by_inferred_b $0 false false) false true)),rich,0,2,False,follow the insturction,make the pattern and if there is any more on the side s or any blue fill in with black,,,,
